"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","78-Pyelo","APECO1","BEN2908","CFT073","IHE3034","IMT5155","LF82","NRG857c","RS218","UIT89","chi7122"
"tsaB","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaB","11","11","1","1","7807","","","","695","695","695","MLKLJMNP_02253","CPCHNOAG_01841","MMFKLIDH_01794","BLOBBDCK_02004","HONHGEAM_01899","JFLNLICH_04196","NFALKJBE_01775","OKCJCEOA_01795","KJPMMKDD_01948","ALJJNEKE_01842","NOKOPPJF_01848"
"dgcZ","","Diguanylate cyclase DgcZ","11","11","1","1","3326","","","","890","890","890","MLKLJMNP_02482","CPCHNOAG_01612","MMFKLIDH_01566","BLOBBDCK_01774","HONHGEAM_01669","JFLNLICH_04426","NFALKJBE_01495","OKCJCEOA_01516","KJPMMKDD_01662","ALJJNEKE_01617","NOKOPPJF_01578"
"mutY","","Adenine DNA glycosylase","11","11","1","1","1002","","","","1052","1052","1052","MLKLJMNP_00940","CPCHNOAG_03218","MMFKLIDH_03166","BLOBBDCK_03251","HONHGEAM_03323","JFLNLICH_01150","NFALKJBE_02936","OKCJCEOA_02913","KJPMMKDD_03261","ALJJNEKE_03110","NOKOPPJF_03064"
"napD","","Chaperone NapD","11","11","1","1","4704","","","","263","263","263","MLKLJMNP_01737","CPCHNOAG_02347","MMFKLIDH_02333","BLOBBDCK_02499","HONHGEAM_02412","JFLNLICH_00314","NFALKJBE_02207","OKCJCEOA_02231","KJPMMKDD_02429","ALJJNEKE_02299","NOKOPPJF_02263"
"uspC","","Universal stress protein C","11","11","1","1","7901","","","","428","428","428","MLKLJMNP_02167","CPCHNOAG_01927","MMFKLIDH_01879","BLOBBDCK_02091","HONHGEAM_01985","JFLNLICH_04112","NFALKJBE_01860","OKCJCEOA_01880","KJPMMKDD_02042","ALJJNEKE_01927","NOKOPPJF_01936"
"rsd","","Regulator of sigma D","11","11","1","1","3783","","","","476","476","476","MLKLJMNP_04713","CPCHNOAG_04374","MMFKLIDH_04343","BLOBBDCK_04514","HONHGEAM_04419","JFLNLICH_02253","NFALKJBE_04031","OKCJCEOA_04008","KJPMMKDD_04378","ALJJNEKE_03534","NOKOPPJF_04114"
"gspF","","Putative type II secretion system protein F","11","11","1","1","6785","","","","1196","1196","1196","MLKLJMNP_00450","CPCHNOAG_03667","MMFKLIDH_03553","BLOBBDCK_03738","HONHGEAM_03712","JFLNLICH_01541","NFALKJBE_03330","OKCJCEOA_03306","KJPMMKDD_03659","ALJJNEKE_03499","NOKOPPJF_03440"
"hypD","","Hydrogenase maturation factor HypD","11","11","1","1","5495","","","","1121","1121","1121","MLKLJMNP_01187","CPCHNOAG_02975","MMFKLIDH_02925","BLOBBDCK_03013","HONHGEAM_03082","JFLNLICH_00907","NFALKJBE_02697","OKCJCEOA_02675","KJPMMKDD_03011","ALJJNEKE_02868","NOKOPPJF_02803"
"group_7714","","hypothetical protein","11","11","1","1","948","","","","230","230","230","MLKLJMNP_00991","CPCHNOAG_03171","MMFKLIDH_03119","BLOBBDCK_03204","HONHGEAM_03276","JFLNLICH_01102","NFALKJBE_02889","OKCJCEOA_02866","KJPMMKDD_03214","ALJJNEKE_03063","NOKOPPJF_03015"
"glxR_1","","2-hydroxy-3-oxopropionate reductase","11","11","1","1","5156","","","","878","878","878","MLKLJMNP_03578","CPCHNOAG_00500","MMFKLIDH_00535","BLOBBDCK_00551","HONHGEAM_00484","JFLNLICH_03310","NFALKJBE_00480","OKCJCEOA_00478","KJPMMKDD_00494","ALJJNEKE_00493","NOKOPPJF_00485"
"argD","","Acetylornithine/succinyldiaminopimelate aminotransferase","11","11","1","1","6745","","","","1220","1220","1220","MLKLJMNP_00417","CPCHNOAG_03702","MMFKLIDH_03588","BLOBBDCK_03771","HONHGEAM_03745","JFLNLICH_01577","NFALKJBE_03363","OKCJCEOA_03339","KJPMMKDD_03693","ALJJNEKE_03570","NOKOPPJF_03474"
"speF","","Inducible ornithine decarboxylase","11","11","1","1","6043","","","","2198","2198","2198","MLKLJMNP_03431","CPCHNOAG_00648","MMFKLIDH_00685","BLOBBDCK_00698","HONHGEAM_00691","JFLNLICH_03458","NFALKJBE_00628","OKCJCEOA_00626","KJPMMKDD_00650","ALJJNEKE_00640","NOKOPPJF_00678"
"lplT","","Lysophospholipid transporter LplT","11","11","1","1","3612","","","","1193","1193","1193","MLKLJMNP_01051","CPCHNOAG_03111","MMFKLIDH_03059","BLOBBDCK_03142","HONHGEAM_03216","JFLNLICH_01042","NFALKJBE_02828","OKCJCEOA_02805","KJPMMKDD_03150","ALJJNEKE_03003","NOKOPPJF_02913"
"group_7719","","hypothetical protein","11","11","1","1","853","","","","1070","1070","1070","MLKLJMNP_00796","CPCHNOAG_03323","MMFKLIDH_03215","BLOBBDCK_03393","HONHGEAM_03372","JFLNLICH_01201","NFALKJBE_02986","OKCJCEOA_02963","KJPMMKDD_03311","ALJJNEKE_03159","NOKOPPJF_03095"
"xerC_2","","Tyrosine recombinase XerC","11","11","1","1","3897","","","","896","896","896","MLKLJMNP_04921","CPCHNOAG_04168","MMFKLIDH_04097","BLOBBDCK_04305","HONHGEAM_04212","JFLNLICH_02047","NFALKJBE_03821","OKCJCEOA_03798","KJPMMKDD_04169","ALJJNEKE_04038","NOKOPPJF_03926"
"msrP","","Protein-methionine-sulfoxide reductase catalytic subunit MsrP","11","11","1","1","8035","","","","1004","1004","1004","MLKLJMNP_02096","CPCHNOAG_02000","MMFKLIDH_01950","BLOBBDCK_02163","HONHGEAM_02057","JFLNLICH_04040","NFALKJBE_01932","OKCJCEOA_01952","KJPMMKDD_02118","ALJJNEKE_01999","NOKOPPJF_02007"
"fixX_2","","Ferredoxin-like protein FixX","11","11","1","1","8360","","","","293","293","293","MLKLJMNP_02351","CPCHNOAG_01741","MMFKLIDH_01693","BLOBBDCK_01902","HONHGEAM_01799","JFLNLICH_04296","NFALKJBE_01677","OKCJCEOA_01697","KJPMMKDD_01789","ALJJNEKE_01744","NOKOPPJF_01750"
"secM","","Secretion monitor","11","11","1","1","1336","","","","587","587","587","MLKLJMNP_03978","CPCHNOAG_00096","MMFKLIDH_00127","BLOBBDCK_00101","HONHGEAM_00095","JFLNLICH_02890","NFALKJBE_00094","OKCJCEOA_00094","KJPMMKDD_00092","ALJJNEKE_00095","NOKOPPJF_00095"
"bamB","","Outer membrane protein assembly factor BamB","11","11","1","1","1621","","","","1178","1178","1178","MLKLJMNP_01396","CPCHNOAG_02728","MMFKLIDH_02665","BLOBBDCK_02772","HONHGEAM_02844","JFLNLICH_00654","NFALKJBE_02474","OKCJCEOA_02498","KJPMMKDD_02766","ALJJNEKE_02628","NOKOPPJF_02611"
"trpE","","Anthranilate synthase component 1","11","11","1","1","7242","","","","1562","1562","1562","MLKLJMNP_02688","CPCHNOAG_01341","MMFKLIDH_01357","BLOBBDCK_01555","HONHGEAM_01463","JFLNLICH_04640","NFALKJBE_01281","OKCJCEOA_01302","KJPMMKDD_01440","ALJJNEKE_01401","NOKOPPJF_01322"
"dmsD","","Tat proofreading chaperone DmsD","11","11","1","1","8248","","","","614","614","614","MLKLJMNP_02464","CPCHNOAG_01630","MMFKLIDH_01584","BLOBBDCK_01792","HONHGEAM_01689","JFLNLICH_04408","NFALKJBE_01567","OKCJCEOA_01587","KJPMMKDD_01680","ALJJNEKE_01635","NOKOPPJF_01637"
"chaB","","Putative cation transport regulator ChaB","11","11","1","1","8175","","","","230","230","230","MLKLJMNP_02801","CPCHNOAG_01234","MMFKLIDH_01238","BLOBBDCK_01502","HONHGEAM_01356","JFLNLICH_04688","NFALKJBE_01227","OKCJCEOA_01248","KJPMMKDD_01329","ALJJNEKE_01294","NOKOPPJF_01276"
"group_7728","","putative protein","11","11","1","1","1644","","","","854","854","854","MLKLJMNP_01374","CPCHNOAG_02750","MMFKLIDH_02687","BLOBBDCK_02794","HONHGEAM_02866","JFLNLICH_00676","NFALKJBE_02496","OKCJCEOA_02520","KJPMMKDD_02788","ALJJNEKE_02650","NOKOPPJF_02633"
"rhlE","","ATP-dependent RNA helicase RhlE","11","11","1","1","6239","","","","1361","1364","1361","MLKLJMNP_03330","CPCHNOAG_00742","MMFKLIDH_00780","BLOBBDCK_00794","HONHGEAM_00785","JFLNLICH_03552","NFALKJBE_00722","OKCJCEOA_00720","KJPMMKDD_00750","ALJJNEKE_00734","NOKOPPJF_00815"
"aaeX","","Protein AaeX","11","11","1","1","6867","","","","203","203","203","MLKLJMNP_00540","CPCHNOAG_03573","MMFKLIDH_03465","BLOBBDCK_03651","HONHGEAM_03622","JFLNLICH_01451","NFALKJBE_03240","OKCJCEOA_03216","KJPMMKDD_03566","ALJJNEKE_03409","NOKOPPJF_03358"
"proS","","Proline--tRNA ligase","11","11","1","1","569","","","","1718","1718","1718","MLKLJMNP_03877","CPCHNOAG_00196","MMFKLIDH_00226","BLOBBDCK_00210","HONHGEAM_00195","JFLNLICH_02992","NFALKJBE_00194","OKCJCEOA_00193","KJPMMKDD_00192","ALJJNEKE_00194","NOKOPPJF_00190"
"group_7732","","hypothetical protein","11","11","1","1","7875","","","","818","818","818","MLKLJMNP_02191","CPCHNOAG_01903","MMFKLIDH_01855","BLOBBDCK_02067","HONHGEAM_01961","JFLNLICH_04136","NFALKJBE_01837","OKCJCEOA_01857","KJPMMKDD_02017","ALJJNEKE_01903","NOKOPPJF_01911"
"obgE","","GTPase ObgE/CgtA","11","11","1","1","6920","","","","1160","1172","1169","MLKLJMNP_00592","CPCHNOAG_03522","MMFKLIDH_03414","BLOBBDCK_03600","HONHGEAM_03571","JFLNLICH_01400","NFALKJBE_03188","OKCJCEOA_03164","KJPMMKDD_03514","ALJJNEKE_03358","NOKOPPJF_03304"
"endA","","Endonuclease-1","11","11","1","1","986","","","","707","707","707","MLKLJMNP_00957","CPCHNOAG_03202","MMFKLIDH_03150","BLOBBDCK_03235","HONHGEAM_03307","JFLNLICH_01134","NFALKJBE_02920","OKCJCEOA_02897","KJPMMKDD_03245","ALJJNEKE_03094","NOKOPPJF_03048"
"hdhA","","7-alpha-hydroxysteroid dehydrogenase","11","11","1","1","8279","","","","767","767","767","MLKLJMNP_02433","CPCHNOAG_01658","MMFKLIDH_01612","BLOBBDCK_01820","HONHGEAM_01717","JFLNLICH_04378","NFALKJBE_01595","OKCJCEOA_01615","KJPMMKDD_01708","ALJJNEKE_01663","NOKOPPJF_01666"
"tatB","","Sec-independent protein translocase protein TatB","11","11","1","1","3933","","","","515","515","515","MLKLJMNP_04872","CPCHNOAG_04216","MMFKLIDH_04145","BLOBBDCK_04353","HONHGEAM_04260","JFLNLICH_02096","NFALKJBE_03868","OKCJCEOA_03845","KJPMMKDD_04218","ALJJNEKE_04086","NOKOPPJF_03951"
"luxS","","S-ribosylhomocysteine lyase","11","11","1","1","5543","","","","515","515","515","MLKLJMNP_01232","CPCHNOAG_02932","MMFKLIDH_02881","BLOBBDCK_02965","HONHGEAM_03039","JFLNLICH_00863","NFALKJBE_02652","OKCJCEOA_02632","KJPMMKDD_02968","ALJJNEKE_02826","NOKOPPJF_02757"
"ftsA_2","","Cell division protein FtsA","11","11","1","1","1550","","","","836","836","836","MLKLJMNP_01507","CPCHNOAG_02625","MMFKLIDH_02612","BLOBBDCK_02720","HONHGEAM_02739","JFLNLICH_00602","NFALKJBE_02422","OKCJCEOA_02446","KJPMMKDD_02711","ALJJNEKE_02576","NOKOPPJF_02545"
"bcsZ","","Endoglucanase","11","11","1","1","1201","","","","1106","1106","1106","MLKLJMNP_00230","CPCHNOAG_03892","MMFKLIDH_03776","BLOBBDCK_03956","HONHGEAM_03934","JFLNLICH_01767","NFALKJBE_03543","OKCJCEOA_03520","KJPMMKDD_03885","ALJJNEKE_03759","NOKOPPJF_03643"
"glpA","","Anaerobic glycerol-3-phosphate dehydrogenase subunit A","11","11","1","1","4665","","","","1628","1628","1628","MLKLJMNP_01704","CPCHNOAG_02381","MMFKLIDH_02367","BLOBBDCK_02532","HONHGEAM_02445","JFLNLICH_00347","NFALKJBE_02240","OKCJCEOA_02264","KJPMMKDD_02463","ALJJNEKE_02332","NOKOPPJF_02298"
"kdpE","","KDP operon transcriptional regulatory protein KdpE","11","11","1","1","6044","","","","677","677","677","MLKLJMNP_03429","CPCHNOAG_00649","MMFKLIDH_00686","BLOBBDCK_00699","HONHGEAM_00692","JFLNLICH_03459","NFALKJBE_00629","OKCJCEOA_00627","KJPMMKDD_00651","ALJJNEKE_00641","NOKOPPJF_00680"
"aat","","Leucyl/phenylalanyl-tRNA--protein transferase","11","11","1","1","6182","","","","704","704","704","MLKLJMNP_03243","CPCHNOAG_00836","MMFKLIDH_00876","BLOBBDCK_00926","HONHGEAM_00894","JFLNLICH_03700","NFALKJBE_00816","OKCJCEOA_00814","KJPMMKDD_00903","ALJJNEKE_00827","NOKOPPJF_00924"
"gspD","","Putative secretin GspD","11","11","1","1","6787","","","","1952","1952","1952","MLKLJMNP_00452","CPCHNOAG_03664","MMFKLIDH_03551","BLOBBDCK_03736","HONHGEAM_03710","JFLNLICH_01539","NFALKJBE_03328","OKCJCEOA_03304","KJPMMKDD_03657","ALJJNEKE_03497","NOKOPPJF_03438"
"entB","","Enterobactin synthase component B","11","11","1","1","5949","","","","857","857","857","MLKLJMNP_03523","CPCHNOAG_00556","MMFKLIDH_00591","BLOBBDCK_00605","HONHGEAM_00599","JFLNLICH_03365","NFALKJBE_00536","OKCJCEOA_00534","KJPMMKDD_00552","ALJJNEKE_00548","NOKOPPJF_00586"
"group_7747","","hypothetical protein","11","11","1","1","7791","","","","503","503","503","MLKLJMNP_02267","CPCHNOAG_01827","MMFKLIDH_01780","BLOBBDCK_01990","HONHGEAM_01885","JFLNLICH_04210","NFALKJBE_01761","OKCJCEOA_01781","KJPMMKDD_01934","ALJJNEKE_01828","NOKOPPJF_01829"
"eptB","","Kdo(2)-lipid A phosphoethanolamine 7''-transferase","11","11","1","1","1217","","","","1691","1691","1691","MLKLJMNP_00214","CPCHNOAG_03910","MMFKLIDH_03788","BLOBBDCK_03974","HONHGEAM_03952","JFLNLICH_01784","NFALKJBE_03560","OKCJCEOA_03537","KJPMMKDD_03903","ALJJNEKE_03777","NOKOPPJF_03660"
"yfcE","","Phosphodiesterase YfcE","11","11","1","1","4604","","","","551","551","551","MLKLJMNP_01646","CPCHNOAG_02439","MMFKLIDH_02424","BLOBBDCK_02589","HONHGEAM_02503","JFLNLICH_00405","NFALKJBE_02298","OKCJCEOA_02322","KJPMMKDD_02522","ALJJNEKE_02390","NOKOPPJF_02353"
"norR_2","","Anaerobic nitric oxide reductase transcription regulator NorR","11","11","1","1","3587","","","","1778","1778","1778","MLKLJMNP_01035","CPCHNOAG_03127","MMFKLIDH_03075","BLOBBDCK_03159","HONHGEAM_03232","JFLNLICH_01058","NFALKJBE_02844","OKCJCEOA_02821","KJPMMKDD_03167","ALJJNEKE_03019","NOKOPPJF_02970"
"yddG","","Aromatic amino acid exporter YddG","11","11","1","1","7617","","","","824","824","824","MLKLJMNP_02539","CPCHNOAG_01552","MMFKLIDH_01508","BLOBBDCK_01714","HONHGEAM_01609","JFLNLICH_04491","NFALKJBE_01433","OKCJCEOA_01454","KJPMMKDD_01589","ALJJNEKE_01547","NOKOPPJF_01500"
"torT","","Periplasmic protein TorT","11","11","1","1","4079","","","","1028","1028","1028","MLKLJMNP_03152","CPCHNOAG_00970","MMFKLIDH_00967","BLOBBDCK_01019","HONHGEAM_01030","JFLNLICH_03792","NFALKJBE_00964","OKCJCEOA_00968","KJPMMKDD_00998","ALJJNEKE_00972","NOKOPPJF_01074"
"trmL","","tRNA (cytidine(34)-2'-O)-methyltransferase","11","11","1","1","2014","","","","473","473","473","MLKLJMNP_00155","CPCHNOAG_03968","MMFKLIDH_03846","BLOBBDCK_04031","HONHGEAM_04010","JFLNLICH_01842","NFALKJBE_03622","OKCJCEOA_03599","KJPMMKDD_03963","ALJJNEKE_03835","NOKOPPJF_03720"
"ybiI","","putative protein YbiI","11","11","1","1","6245","","","","266","266","266","MLKLJMNP_03324","CPCHNOAG_00747","MMFKLIDH_00786","BLOBBDCK_00800","HONHGEAM_00790","JFLNLICH_03558","NFALKJBE_00728","OKCJCEOA_00726","KJPMMKDD_00756","ALJJNEKE_00739","NOKOPPJF_00821"
"group_7755","","hypothetical protein","11","11","1","1","6522","","","","284","284","284","MLKLJMNP_01604","CPCHNOAG_02481","MMFKLIDH_02466","BLOBBDCK_02632","HONHGEAM_02595","JFLNLICH_00448","NFALKJBE_02340","OKCJCEOA_02364","KJPMMKDD_02565","ALJJNEKE_02432","NOKOPPJF_02395"
"alsT","","Amino-acid carrier protein AlsT","11","11","1","1","4991","","","","1430","1430","1430","MLKLJMNP_04064","CPCHNOAG_00006","MMFKLIDH_00006","BLOBBDCK_00007","HONHGEAM_00006","JFLNLICH_02799","NFALKJBE_00006","OKCJCEOA_00006","KJPMMKDD_00003","ALJJNEKE_00006","NOKOPPJF_00006"
"group_7757","","hypothetical protein","11","11","1","1","4325","","","","1583","1583","1583","MLKLJMNP_01878","CPCHNOAG_02174","MMFKLIDH_02193","BLOBBDCK_02351","HONHGEAM_02268","JFLNLICH_00171","NFALKJBE_02065","OKCJCEOA_02084","KJPMMKDD_02285","ALJJNEKE_02156","NOKOPPJF_02095"
"pasI","","Persistence and stress-resistance antitoxin PasI","11","11","1","1","1340","","","","290","290","290","MLKLJMNP_01294","CPCHNOAG_02835","MMFKLIDH_02766","BLOBBDCK_02867","HONHGEAM_02942","JFLNLICH_00755","NFALKJBE_02575","OKCJCEOA_02599","KJPMMKDD_02868","ALJJNEKE_02729","NOKOPPJF_02711"
"aroD","","3-dehydroquinate dehydratase","11","11","1","1","8353","","","","758","758","758","MLKLJMNP_02359","CPCHNOAG_01734","MMFKLIDH_01686","BLOBBDCK_01894","HONHGEAM_01792","JFLNLICH_04304","NFALKJBE_01669","OKCJCEOA_01689","KJPMMKDD_01782","ALJJNEKE_01737","NOKOPPJF_01743"
"group_776","","hypothetical protein","11","11","1","1","820","","","","653","926","901","MLKLJMNP_00766","CPCHNOAG_03353","MMFKLIDH_03245","BLOBBDCK_03423","HONHGEAM_03402","JFLNLICH_01231","NFALKJBE_03016","OKCJCEOA_02993","KJPMMKDD_03342","ALJJNEKE_03189","NOKOPPJF_03125"
"yejF","","putative ABC transporter ATP-binding protein YejF","11","11","1","1","4467","","","","1589","1589","1589","MLKLJMNP_01764","CPCHNOAG_02321","MMFKLIDH_02307","BLOBBDCK_02471","HONHGEAM_02386","JFLNLICH_00287","NFALKJBE_02179","OKCJCEOA_02203","KJPMMKDD_02403","ALJJNEKE_02273","NOKOPPJF_02213"
"oppF_1","","Oligopeptide transport ATP-binding protein OppF","11","11","1","1","1211","","","","1004","1004","1004","MLKLJMNP_00220","CPCHNOAG_03903","MMFKLIDH_03781","BLOBBDCK_03967","HONHGEAM_03945","JFLNLICH_01777","NFALKJBE_03553","OKCJCEOA_03530","KJPMMKDD_03896","ALJJNEKE_03770","NOKOPPJF_03653"
"fabG_2","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","11","11","1","1","1856","","","","791","791","791","MLKLJMNP_04299","CPCHNOAG_04693","MMFKLIDH_04638","BLOBBDCK_04822","HONHGEAM_04669","JFLNLICH_02606","NFALKJBE_04324","OKCJCEOA_04300","KJPMMKDD_04696","ALJJNEKE_04457","NOKOPPJF_04364"
"slmA","","Nucleoid occlusion factor SlmA","11","11","1","1","2048","","","","596","596","596","MLKLJMNP_00122","CPCHNOAG_04000","MMFKLIDH_03878","BLOBBDCK_04063","HONHGEAM_04042","JFLNLICH_01875","NFALKJBE_03654","OKCJCEOA_03631","KJPMMKDD_03996","ALJJNEKE_03867","NOKOPPJF_03752"
"aceK","","Isocitrate dehydrogenase kinase/phosphatase","11","11","1","1","3760","","","","1724","1736","1725","MLKLJMNP_04692","CPCHNOAG_04395","MMFKLIDH_04362","BLOBBDCK_04534","HONHGEAM_04439","JFLNLICH_02273","NFALKJBE_04051","OKCJCEOA_04028","KJPMMKDD_04398","ALJJNEKE_04227","NOKOPPJF_04134"
"pdeN","","putative cyclic di-GMP phosphodiesterase PdeN","11","11","1","1","4463","","","","1556","1556","1556","MLKLJMNP_01768","CPCHNOAG_02317","MMFKLIDH_02303","BLOBBDCK_02467","HONHGEAM_02382","JFLNLICH_00283","NFALKJBE_02175","OKCJCEOA_02199","KJPMMKDD_02399","ALJJNEKE_02269","NOKOPPJF_02208"
"rlmG","","Ribosomal RNA large subunit methyltransferase G","11","11","1","1","730","","","","1136","1136","1136","MLKLJMNP_00681","CPCHNOAG_03435","MMFKLIDH_03327","BLOBBDCK_03510","HONHGEAM_03484","JFLNLICH_01313","NFALKJBE_03100","OKCJCEOA_03076","KJPMMKDD_03427","ALJJNEKE_03271","NOKOPPJF_03201"
"queE","","7-carboxy-7-deazaguanine synthase","11","11","1","1","5443","","","","671","671","671","MLKLJMNP_01144","CPCHNOAG_03018","MMFKLIDH_02968","BLOBBDCK_03058","HONHGEAM_03126","JFLNLICH_00950","NFALKJBE_02740","OKCJCEOA_02718","KJPMMKDD_03057","ALJJNEKE_02913","NOKOPPJF_02853"
"bluR","","HTH-type transcriptional repressor BluR","11","11","1","1","5906","","","","731","731","731","MLKLJMNP_02862","CPCHNOAG_01174","MMFKLIDH_01178","BLOBBDCK_01443","HONHGEAM_01296","JFLNLICH_04749","NFALKJBE_01168","OKCJCEOA_01188","KJPMMKDD_01269","ALJJNEKE_01236","NOKOPPJF_01215"
"cusB","","Cation efflux system protein CusB","11","11","1","1","2387","","","","1223","1223","1223","MLKLJMNP_03546","CPCHNOAG_00532","MMFKLIDH_00568","BLOBBDCK_00583","HONHGEAM_00576","JFLNLICH_03342","NFALKJBE_00512","OKCJCEOA_00510","KJPMMKDD_00527","ALJJNEKE_00525","NOKOPPJF_00564"
"acpP_2","","Acyl carrier protein","11","11","1","1","856","","","","248","248","248","MLKLJMNP_00799","CPCHNOAG_03320","MMFKLIDH_03212","BLOBBDCK_03390","HONHGEAM_03369","JFLNLICH_01198","NFALKJBE_02983","OKCJCEOA_02960","KJPMMKDD_03308","ALJJNEKE_03156","NOKOPPJF_03092"
"group_7770","","hypothetical protein","11","11","1","1","7722","","","","677","677","677","MLKLJMNP_02302","CPCHNOAG_01791","MMFKLIDH_01745","BLOBBDCK_01952","HONHGEAM_01850","JFLNLICH_04245","NFALKJBE_01726","OKCJCEOA_01746","KJPMMKDD_01840","ALJJNEKE_01793","NOKOPPJF_01800"
"alsE","","D-allulose-6-phosphate 3-epimerase","11","11","1","1","3165","","","","695","695","695","MLKLJMNP_04482","CPCHNOAG_04494","MMFKLIDH_04463","BLOBBDCK_04634","HONHGEAM_04538","JFLNLICH_02373","NFALKJBE_04143","OKCJCEOA_04119","KJPMMKDD_04565","ALJJNEKE_04326","NOKOPPJF_04235"
"group_7772","","hypothetical protein","11","11","1","1","4319","","","","839","839","839","MLKLJMNP_01882","CPCHNOAG_02170","MMFKLIDH_02189","BLOBBDCK_02346","HONHGEAM_02264","JFLNLICH_00167","NFALKJBE_02061","OKCJCEOA_02080","KJPMMKDD_02280","ALJJNEKE_02152","NOKOPPJF_02091"
"fdrA_1","","Protein FdrA","11","11","1","1","2671","","","","1547","1547","1547","MLKLJMNP_03741","CPCHNOAG_00328","MMFKLIDH_00362","BLOBBDCK_00389","HONHGEAM_00311","JFLNLICH_03137","NFALKJBE_00316","OKCJCEOA_00314","KJPMMKDD_00311","ALJJNEKE_00320","NOKOPPJF_00310"
"osmB","","Osmotically-inducible lipoprotein B","11","11","1","1","7222","","","","218","218","218","MLKLJMNP_02668","CPCHNOAG_01361","MMFKLIDH_01377","BLOBBDCK_01576","HONHGEAM_01483","JFLNLICH_04619","NFALKJBE_01301","OKCJCEOA_01322","KJPMMKDD_01460","ALJJNEKE_01421","NOKOPPJF_01342"
"rlmF","","Ribosomal RNA large subunit methyltransferase F","11","11","1","1","6250","","","","926","926","926","MLKLJMNP_03320","CPCHNOAG_00751","MMFKLIDH_00790","BLOBBDCK_00804","HONHGEAM_00794","JFLNLICH_03562","NFALKJBE_00732","OKCJCEOA_00730","KJPMMKDD_00761","ALJJNEKE_00743","NOKOPPJF_00825"
"mdrP","","Na(+), Li(+), K(+)/H(+) antiporter","11","11","1","1","3322","","","","1187","1187","1187","MLKLJMNP_02484","CPCHNOAG_01610","MMFKLIDH_01564","BLOBBDCK_01772","HONHGEAM_01667","JFLNLICH_04428","NFALKJBE_01493","OKCJCEOA_01514","KJPMMKDD_01660","ALJJNEKE_01615","NOKOPPJF_01576"
"yggX","","putative Fe(2+)-trafficking protein","11","11","1","1","1003","","","","275","275","275","MLKLJMNP_00939","CPCHNOAG_03219","MMFKLIDH_03167","BLOBBDCK_03252","HONHGEAM_03324","JFLNLICH_01151","NFALKJBE_02937","OKCJCEOA_02914","KJPMMKDD_03262","ALJJNEKE_03111","NOKOPPJF_03065"
"group_7778","","hypothetical protein","11","11","1","1","1609","","","","539","539","539","MLKLJMNP_01464","CPCHNOAG_02668","MMFKLIDH_02655","BLOBBDCK_02763","HONHGEAM_02782","JFLNLICH_00645","NFALKJBE_02465","OKCJCEOA_02489","KJPMMKDD_02756","ALJJNEKE_02619","NOKOPPJF_02605"
"ltaE","","Low specificity L-threonine aldolase","11","11","1","1","6392","","","","1001","1001","1001","MLKLJMNP_03258","CPCHNOAG_00814","MMFKLIDH_00854","BLOBBDCK_00911","HONHGEAM_00856","JFLNLICH_03673","NFALKJBE_00794","OKCJCEOA_00793","KJPMMKDD_00881","ALJJNEKE_00805","NOKOPPJF_00909"
"oleD_2","","2-alkyl-3-oxoalkanoate reductase","11","11","1","1","857","","","","914","914","914","MLKLJMNP_00800","CPCHNOAG_03319","MMFKLIDH_03211","BLOBBDCK_03389","HONHGEAM_03368","JFLNLICH_01197","NFALKJBE_02982","OKCJCEOA_02959","KJPMMKDD_03307","ALJJNEKE_03155","NOKOPPJF_03091"
"amiA","","N-acetylmuramoyl-L-alanine amidase AmiA","11","11","1","1","1539","","","","869","869","869","MLKLJMNP_01532","CPCHNOAG_02615","MMFKLIDH_02601","BLOBBDCK_02710","HONHGEAM_02729","JFLNLICH_00592","NFALKJBE_02412","OKCJCEOA_02436","KJPMMKDD_02701","ALJJNEKE_02566","NOKOPPJF_02535"
"group_7781","","putative ketoamine kinase","11","11","1","1","3280","","","","860","860","860","MLKLJMNP_02327","CPCHNOAG_01765","MMFKLIDH_01720","BLOBBDCK_01927","HONHGEAM_01825","JFLNLICH_04273","NFALKJBE_01701","OKCJCEOA_01721","KJPMMKDD_01813","ALJJNEKE_01768","NOKOPPJF_01774"
"nikC","","Nickel transport system permease protein NikC","11","11","1","1","1139","","","","833","833","833","MLKLJMNP_00292","CPCHNOAG_03829","MMFKLIDH_03713","BLOBBDCK_03894","HONHGEAM_03871","JFLNLICH_01704","NFALKJBE_03480","OKCJCEOA_03457","KJPMMKDD_03822","ALJJNEKE_03696","NOKOPPJF_03591"
"truC","","tRNA pseudouridine synthase C","11","11","1","1","5424","","","","782","782","782","MLKLJMNP_01128","CPCHNOAG_03035","MMFKLIDH_02985","BLOBBDCK_03074","HONHGEAM_03143","JFLNLICH_00968","NFALKJBE_02757","OKCJCEOA_02735","KJPMMKDD_03075","ALJJNEKE_02930","NOKOPPJF_02868"
